Instance, TimeLimit, Solver, Objective Value
neos-3682128-sandon.mps, 10, highs, 44504885.0
neos-3682128-sandon.mps, 10, cplex, 55517060.0
neos-3682128-sandon.mps, 10, Local-ILP, 90501340.0
neos-4165869-wannon.mps, 10, SCIP, N/A
neos-4165869-wannon.mps, 10, gurobi(exact), 294.0
neos-4165869-wannon.mps, 10, gurobi(heur), 294.0
neos-4165869-wannon.mps, 10, FJ, 366.0
neos-4165869-wannon.mps, 10, highs, N/A
neos-4165869-wannon.mps, 10, cplex, 372.0
neos-4165869-wannon.mps, 10, Local-ILP, 294.0
neos-4360552-sangro.mps, 10, SCIP, N/A
neos-4360552-sangro.mps, 10, gurobi(exact), N/A
neos-4360552-sangro.mps, 10, gurobi(heur), N/A
neos-4360552-sangro.mps, 10, FJ, N/A
neos-4360552-sangro.mps, 10, highs, N/A
neos-4360552-sangro.mps, 10, cplex, N/A
neos-4360552-sangro.mps, 10, Local-ILP, N/A
neos-4531126-vouga.mps, 10, SCIP, N/A
neos-4531126-vouga.mps, 10, gurobi(exact), N/A
neos-4531126-vouga.mps, 10, gurobi(heur), N/A
neos-4531126-vouga.mps, 10, FJ, N/A
neos-4531126-vouga.mps, 10, highs, N/A
neos-4531126-vouga.mps, 10, cplex, N/A
neos-4531126-vouga.mps, 10, Local-ILP, N/A
neos-4954274-beardy.mps, 10, SCIP, N/A
neos-4954274-beardy.mps, 10, gurobi(exact), N/A
neos-4954274-beardy.mps, 10, gurobi(heur), N/A
neos-4954274-beardy.mps, 10, FJ, 49206.67
neos-4954274-beardy.mps, 10, highs, N/A
neos-4954274-beardy.mps, 10, cplex, N/A
neos-4954274-beardy.mps, 10, Local-ILP, 35096.3725
neos-954925.mps, 10, SCIP, 0.0
neos-954925.mps, 10, gurobi(exact), -237.76
neos-954925.mps, 10, gurobi(heur), -237.76
neos-954925.mps, 10, FJ, -0.986667
neos-954925.mps, 10, highs, N/A
neos-954925.mps, 10, cplex, N/A
neos-954925.mps, 10, Local-ILP, -237.7444444442
ns1828997.mps, 10, SCIP, 192.0
ns1828997.mps, 10, gurobi(exact), 25.0
ns1828997.mps, 10, gurobi(heur), 20.0
ns1828997.mps, 10, FJ, 225.0
